Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^DJI,^DJI,^DJI,^DJI,^DJI,^DJI
Date,,,,,,
2018-06-29,24271.41015625,24271.41015625,24509.51953125,24269.7109375,24323.9296875,329070000
2018-07-02,24307.1796875,24307.1796875,24319.419921875,24077.560546875,24161.529296875,244110000
2018-07-03,24174.8203125,24174.8203125,24444.880859375,24150.849609375,24359.390625,160960000
2018-07-05,24356.740234375,24356.740234375,24372.80078125,24177.439453125,24285.8203125,237670000
2018-07-06,24456.48046875,24456.48046875,24520.2890625,24281.470703125,24352.470703125,219450000
2018-07-09,24776.58984375,24776.58984375,24796.51953125,24518.4296875,24519.19921875,240580000
2018-07-10,24919.66015625,24919.66015625,24945.380859375,24806.970703125,24806.970703125,235040000
2018-07-11,24700.44921875,24700.44921875,24815.16015625,24663.8203125,24789.48046875,237370000
2018-07-12,24924.890625,24924.890625,24939.970703125,24802.900390625,24802.900390625,233150000
2018-07-13,25019.41015625,25019.41015625,25043.2109375,24890.060546875,24926.0703125,255520000
2018-07-16,25064.359375,25064.359375,25072.41015625,24979.640625,25025.580078125,231270000
2018-07-17,25119.890625,25119.890625,25155.390625,24989.609375,25033.919921875,250450000
2018-07-18,25199.2890625,25199.2890625,25215.3203125,25101.119140625,25133.7890625,252870000
2018-07-19,25064.5,25064.5,25154.169921875,25052.619140625,25139.150390625,285760000
2018-07-20,25058.119140625,25058.119140625,25124.099609375,24986.349609375,25041.140625,274080000
2018-07-23,25044.2890625,25044.2890625,25081.44921875,24983.330078125,25036.900390625,228820000
2018-07-24,25241.939453125,25241.939453125,25286.619140625,25092.4296875,25092.4296875,274940000
2018-07-25,25414.099609375,25414.099609375,25432.869140625,25113.55078125,25183.69921875,273670000
2018-07-26,25527.0703125,25527.0703125,25587.240234375,25463.16015625,25468.55078125,297530000
2018-07-27,25451.060546875,25451.060546875,25580.220703125,25370.0703125,25520.51953125,329680000
2018-07-30,25306.830078125,25306.830078125,25500.16015625,25287.380859375,25439.3203125,296880000
2018-07-31,25415.189453125,25415.189453125,25490.98046875,25345.2109375,25345.2109375,348700000
2018-08-01,25333.8203125,25333.8203125,25488.80078125,25278.3203125,25461.630859375,315880000
2018-08-02,25326.16015625,25326.16015625,25360.48046875,25120.0703125,25256.44921875,307700000
2018-08-03,25462.580078125,25462.580078125,25467.900390625,25325.169921875,25360.369140625,239020000
